NIK,Nama_Klien,Tgl_Daftar,No_Tlp_K,Email_K,Alamat_K,Gender_K,Tmpt_tgl_lhr_K,Tgl_lhr_K,Jenis_LH
10000001,"Diana Prakasa, S.H.",2026-05-09,+62 (30) 725-43,klien1_young-along-not@pd.gov,"Jl. Moch. Ramdan No. 51, Surakarta, PA 79703",Wanita,Tangerang Selatan,1987-09-03,8153
10000002,T. Atmaja Pratama,2025-10-06,+62 (99) 371-97,klien2_nation-head-from@cv.web.id,"Gg. K.H. Wahid Hasyim No. 308, Banjarbaru, Sumatera Barat 37011",Laki-Laki,Palembang,1986-03-13,4636
10000003,Victoria Rahayu,2025-07-14,+62 (087) 995-2,klien3_see-stop-stuff@ud.go.id,"Gang Rajawali Barat No. 7, Yogyakarta, Riau 04109",Laki-Laki,Cirebon,1987-12-09,886
10000004,KH. Hadi Pratiwi,2023-09-17,+62-684-816-520,klien4_crime-should-point@perum.mil,"Gg. Ahmad Yani No. 46, Parepare, KI 53359",Wanita,Depok,1999-06-11,258
10000005,Gamanto Zulaika,2025-12-07,(025) 337 4021,klien5_value-dark@pd.biz.id,"Jl. Kapten Muslihat No. 94, Sibolga, Papua Barat 96055",Wanita,Blitar,1965-07-03,3738
10000006,Jumadi Sudiati,2024-03-01,(0367) 711-7452,klien6_outside-those@pd.web.id,"Jl. Veteran No. 1, Dumai, Maluku Utara 47584",Laki-Laki,Pagaralam,1999-10-14,8705
10000007,Cici Gunarto,2024-06-16,+62 (63) 106 56,klien7_white-hair-start@cv.gov,"Jalan Rawamangun No. 046, Depok, Sumatera Barat 30534",Wanita,Tarakan,1995-03-26,7259
10000008,Kamidin Wacana,2023-02-20,+62-205-188-582,klien8_american-book@pd.ac.id,"Gang Cikutra Timur No. 11, Mojokerto, Kepulauan Bangka Belitung 98928",Laki-Laki,Parepare,1999-04-01,2595
10000009,Umi Mahendra,2023-12-24,+62 (059) 960 0,klien9_response-build-door@pd.net,"Jl. Gedebage Selatan No. 9, Tidore Kepulauan, MU 92689",Wanita,Tangerang,1969-10-05,164
10000010,"Dr. Xanana Gunawan, S.I.Kom",2024-09-23,+62-204-392-904,klien10_sport-material-six@ud.int,"Gg. Peta No. 4, Banjarbaru, SR 40616",Wanita,Balikpapan,1998-08-08,4165
10000011,Puji Setiawan,2026-05-03,(0488) 278-3654,klien11_far-to-along-figure@perum.web.id,"Jl. Suryakencana No. 84, Kota Administrasi Jakarta Utara, Bali 44377",Wanita,Banjarbaru,1976-05-09,8275
10000012,"Puti Gawati Saptono, S.Kom",2024-05-28,083 724 0933,klien12_leave-base-as-wife@cv.or.id,"Gang Merdeka No. 07, Probolinggo, KI 11266",Laki-Laki,Depok,1998-07-28,6888
10000013,Siska Nashiruddin,2026-09-24,0882770432,klien13_put-movie-other@pt.ac.id,"Jl. Rajawali Timur No. 595, Madiun, AC 49820",Wanita,Banjar,1976-12-14,877
10000014,Empluk Hariyah,2025-03-20,(073) 937 3937,klien14_wind-already-end@cv.ac.id,"Gg. Suniaraja No. 5, Depok, Kalimantan Barat 27581",Laki-Laki,Sawahlunto,1980-10-18,1163
10000015,Uda Purnawati,2025-06-25,0836817449,klien15_edge-fast-relate-to@pd.go.id,"Gang Dr. Djunjunan No. 9, Cilegon, Jawa Tengah 41036",Laki-Laki,Prabumulih,1983-06-03,5465
10000016,Yani Sinaga,2025-08-17,(068) 911 8766,klien16_their-quickly@pd.co.id,"Jl. Tebet Barat Dalam No. 4, Pasuruan, YO 14462",Laki-Laki,Madiun,1962-02-19,6510
10000017,Endah Yuliarti,2026-07-29,0893468946,klien17_include-seven-off@perum.web.id,"Jl. S. Parman No. 0, Batam, Maluku Utara 50962",Wanita,Sukabumi,1996-08-10,65
10000018,"Tgk. Talia Mangunsong, S.Psi",2025-01-05,+62 (671) 250-9,klien18_health-activity@pt.org,"Gg. Rungkut Industri No. 8, Kota Administrasi Jakarta Barat, RI 34618",Wanita,Mataram,1977-04-07,2494
10000019,Tira Prastuti,2024-10-16,(021) 671-7948,klien19_their-shake-stand@cv.or.id,"Gg. Lembong No. 374, Batam, Sumatera Barat 15116",Laki-Laki,Tebingtinggi,1988-12-26,2630
10000020,Citra Firmansyah,2025-05-01,(0446) 993 3542,klien20_without-letter-sell@perum.net,"Jalan Sentot Alibasa No. 2, Padang Sidempuan, JI 13363",Laki-Laki,Kota Administrasi Jakarta Utara,1991-08-21,3925
10000021,Tira Damanik,2026-03-20,(031) 010 3153,klien21_material-shake-him@ud.go.id,"Jl. Jamika No. 54, Pangkalpinang, Sulawesi Utara 75606",Wanita,Madiun,1984-10-19,4532
10000022,Oni Iswahyudi,2026-01-15,+62-035-964-579,klien22_half-above-three@cv.sch.id,"Jl. Moch. Ramdan No. 86, Purwokerto, Papua 66731",Wanita,Palopo,1993-06-20,9463
10000023,"Rafid Mardhiyah, S.E.",2026-10-04,+62 (0987) 840-,klien23_back-expect@cv.mil.id,"Jl. Dr. Djunjunan No. 9, Kota Administrasi Jakarta Timur, Kepulauan Riau 27961",Wanita,Tanjungpinang,1994-02-25,3467
10000024,Digdaya Mahendra,2024-09-22,082 199 0401,klien24_structure-scene-man@cv.com,"Gang Ronggowarsito No. 9, Sawahlunto, SG 08979",Laki-Laki,Mataram,1993-06-22,115
10000025,"Utama Sudiati, M.Kom.",2023-12-12,(028) 706-0869,klien25_republican-clearly@cv.go.id,"Jl. Gedebage Selatan No. 8, Pekanbaru, RI 23871",Wanita,Sungai Penuh,1988-08-02,7020
