Penagihan_ID,NIK,LH_ID,Kasus_ID,Staf_ID,Tgl_Penagihan,Status_Penagihan,Tgl_Bayar,Biaya_Admin,Biaya_PendaftaranPgd,Biaya_SalinanPts,Biaya_Layanan_Hukum
700001,10001135,1732,500001,47,2026-02-15,Sebagian,2026-03-01,75000,12439830,50000,12075000
700002,10009196,8317,500002,263,2025-05-06,Lunas,2025-06-27,75000,9957386,100000,13589000
700003,10006567,2228,500003,586,2025-10-28,Lunas,2025-11-10,75000,6676789,100000,959000
700004,10004268,507,500004,935,2026-11-05,Lunas,2026-12-08,75000,12101714,50000,5726000
700005,10005671,7876,500005,730,2025-01-06,Lunas,2025-01-24,75000,12375123,100000,2670000
700006,10008792,4750,500006,383,2026-12-03,Lunas,2026-12-27,20000,5194855,20000,51902000
700007,10001928,2208,500007,427,2024-02-06,Lunas,2024-03-03,30000,11180388,50000,13684000
700008,10003864,3263,500008,628,2026-08-13,Lunas,2026-09-01,75000,2936247,10000,49070000
700009,10008777,5387,500009,804,2026-11-11,Lunas,2026-11-13,20000,3951217,50000,14000000
700010,10002702,4341,500010,687,2026-11-15,Sebagian,2026-12-31,20000,14527780,10000,12363000
700011,10008935,3226,500011,285,2026-08-16,Sebagian,2026-09-12,50000,2640216,10000,6523000
700012,10003960,9244,500012,440,2026-07-27,Lunas,2026-08-14,75000,2621361,50000,8708000
700013,10005782,9162,500013,28,2026-08-21,Lunas,2026-09-20,20000,9991635,20000,1747000
700014,10003465,8122,500014,465,2026-08-21,Lunas,2026-09-21,50000,14736991,50000,44627000
700015,10008952,5417,500015,61,2025-08-23,Belum Lunas,,20000,3101990,100000,2159000
700016,10004830,4392,500016,442,2025-08-16,Sebagian,2025-09-19,75000,6213969,10000,4592000
700017,10006085,5209,500017,811,2025-04-13,Lunas,2025-05-24,50000,8273619,100000,73399000
700018,10001148,1407,500018,441,2024-04-14,Belum Lunas,,75000,14610599,20000,11511000
700019,10005829,948,500019,679,2026-12-27,Sebagian,2027-01-12,50000,11976280,20000,11174000
700020,10007555,3247,500020,44,2026-11-11,Belum Lunas,,20000,1503494,100000,62769000
700021,10001931,311,500021,984,2026-12-25,Belum Lunas,,75000,7275466,100000,10733000
700022,10007929,8546,500022,837,2026-03-05,Lunas,2026-03-27,30000,12729428,10000,43858000
700023,10007438,840,500023,532,2024-09-17,Lunas,2024-10-14,75000,14021189,10000,72258000
700024,10005050,4074,500024,822,2026-03-25,Lunas,2026-04-17,30000,2772358,50000,40216000
700025,10003531,7363,500025,117,2026-12-15,Sebagian,2027-01-18,50000,1446668,20000,51341000
700026,10004659,4150,500026,502,2026-09-26,Lunas,2026-10-22,30000,8868768,10000,28560000
700027,10003213,2624,500027,444,2024-10-26,Lunas,2024-11-17,50000,14799047,10000,8973000
700028,10005618,3645,500028,676,2026-09-05,Lunas,2026-10-15,30000,13518203,10000,6791000
700029,10004649,3149,500029,186,2026-10-14,Lunas,2026-11-07,30000,11634210,10000,4531000
700030,10003029,950,500030,858,2025-06-08,Lunas,2025-07-16,75000,10269226,20000,62398000
700031,10005564,6791,500031,415,2026-02-17,Lunas,2026-02-21,30000,9687023,100000,6582000
700032,10005789,827,500032,22,2026-09-19,Lunas,2026-10-16,75000,3111668,20000,74416000
700033,10008250,1697,500033,802,2025-06-14,Lunas,2025-08-08,50000,11909556,100000,4236000
700034,10007229,1339,500034,235,2025-12-02,Lunas,2026-01-08,30000,5153152,100000,17533000
700035,10009926,8296,500035,12,2026-11-02,Belum Lunas,,20000,4144544,100000,13090000
700036,10002011,6305,500036,389,2024-08-30,Lunas,2024-09-09,30000,3881699,20000,74517000
700037,10005744,8074,500037,476,2026-03-10,Lunas,2026-03-19,30000,7036257,20000,44090000
700038,10001889,877,500038,953,2026-01-27,Lunas,2026-03-07,75000,4686992,20000,6165000
700039,10009934,6179,500039,479,2026-11-21,Lunas,2026-11-24,30000,14360809,100000,547000
700040,10008573,2033,500040,729,2025-09-01,Lunas,2025-10-22,50000,12379460,100000,12074000
700041,10005921,5253,500041,96,2026-01-18,Lunas,2026-01-25,30000,8891490,100000,1076000
700042,10007629,3087,500042,499,2026-12-14,Belum Lunas,,20000,10474238,10000,3240000
700043,10003280,3247,500043,962,2026-10-25,Lunas,2026-11-04,75000,9273987,10000,62769000
700044,10003550,6933,500044,630,2025-10-21,Lunas,2025-12-04,75000,10504765,50000,3665000
700045,10000417,4389,500045,789,2025-03-09,Lunas,2025-03-29,30000,337587,100000,12833000
700046,10008284,6905,500046,120,2026-12-27,Belum Lunas,,50000,14732322,20000,867000
700047,10000699,8491,500047,266,2026-01-07,Lunas,2026-01-30,75000,14500899,10000,60359000
700048,10007273,3144,500048,439,2024-08-18,Sebagian,2024-09-29,20000,7338375,20000,5221000
700049,10007122,4443,500049,1000,2024-12-16,Sebagian,2025-01-14,50000,1371431,100000,1307000
700050,10003151,7022,500050,875,2026-06-25,Lunas,2026-07-26,30000,5354493,100000,8005000
700051,10003795,1117,500051,109,2025-04-10,Lunas,2025-04-13,50000,2896805,100000,12394000
700052,10007510,1272,500052,487,2025-02-07,Sebagian,2025-02-15,20000,1544179,50000,14275000
700053,10000609,8036,500053,637,2026-01-21,Belum Lunas,,20000,866683,10000,1161000
700054,10003927,9041,500054,211,2026-12-23,Lunas,2027-01-05,20000,2773108,10000,11169000
700055,10005466,2801,500055,549,2025-06-22,Lunas,2025-08-17,50000,9800527,10000,11582000
700056,10003110,7470,500056,555,2026-04-27,Lunas,2026-05-17,75000,14104710,50000,2585000
700057,10006752,9213,500057,232,2026-12-30,Lunas,2026-12-31,50000,2250524,100000,3207000
700058,10002108,8456,500058,789,2026-11-23,Belum Lunas,,75000,14631526,100000,8208000
700059,10004494,2979,500059,638,2026-12-09,Lunas,2027-01-31,50000,2775903,20000,13684000
700060,10000679,6386,500060,894,2025-12-01,Lunas,2026-01-24,50000,2140354,10000,833000
700061,10008508,9401,500061,660,2026-11-14,Belum Lunas,,50000,11217635,20000,6517000
700062,10009341,6544,500062,80,2026-11-28,Belum Lunas,,20000,3840774,10000,10552000
700063,10009163,7929,500063,396,2025-08-17,Lunas,2025-09-03,20000,4449278,10000,7099000
700064,10003690,5319,500064,964,2026-11-03,Sebagian,2026-12-21,20000,4228401,50000,723000
700065,10003017,1649,500065,288,2026-06-27,Lunas,2026-07-04,30000,7597438,20000,63245000
700066,10006354,4620,500066,349,2025-02-03,Lunas,2025-04-02,75000,13918021,10000,1309000
700067,10003389,3793,500067,889,2026-07-11,Belum Lunas,,20000,3074724,10000,1968000
700068,10005275,410,500068,505,2026-07-02,Lunas,2026-08-07,20000,7680578,10000,3745000
700069,10005402,4766,500069,576,2025-11-29,Belum Lunas,,30000,9431261,20000,65502000
700070,10000371,8845,500070,353,2024-12-31,Lunas,2025-01-25,50000,4243223,10000,10299000
700071,10009313,746,500071,654,2026-03-23,Lunas,2026-04-21,75000,6879836,100000,14696000
700072,10005934,9742,500072,414,2026-05-23,Belum Lunas,,30000,6665618,100000,8662000
700073,10008985,4236,500073,969,2026-06-14,Lunas,2026-06-22,75000,11171156,100000,64719000
700074,10009065,4844,500074,251,2025-11-28,Lunas,2025-12-12,20000,7640704,50000,3132000
700075,10003377,4394,500075,952,2024-03-19,Lunas,2024-05-16,20000,5585714,100000,892000
700076,10009422,5726,500076,42,2026-11-09,Belum Lunas,,50000,12295179,100000,10524000
700077,10003270,9167,500077,334,2025-06-18,Belum Lunas,,50000,12631775,10000,10033000
700078,10004779,9338,500078,452,2025-07-13,Lunas,2025-08-12,30000,9886276,50000,14198000
700079,10005814,9003,500079,172,2025-09-13,Lunas,2025-10-12,20000,6151657,10000,615000
700080,10006192,5308,500080,67,2025-07-07,Lunas,2025-07-09,75000,13868129,10000,9387000
700081,10005544,4441,500081,642,2026-08-09,Belum Lunas,,20000,14690557,20000,38229000
700082,10003012,8185,500082,519,2026-12-29,Lunas,2027-01-24,20000,9909415,50000,8960000
700083,10005083,3696,500083,542,2024-12-21,Belum Lunas,,20000,13362561,50000,28900000
700084,10006451,6197,500084,473,2025-07-06,Lunas,2025-07-24,30000,14932851,50000,1039000
700085,10009272,8965,500085,310,2026-07-22,Lunas,2026-08-12,75000,8117245,10000,3153000
700086,10004365,3517,500086,567,2023-10-23,Lunas,2023-11-05,20000,5115799,100000,9439000
700087,10008975,1000,500087,406,2026-05-06,Sebagian,2026-06-01,50000,2998328,50000,13216000
700088,10007811,1288,500088,765,2025-10-10,Lunas,2025-11-05,30000,8043015,100000,6206000
700089,10007347,8537,500089,323,2026-12-21,Belum Lunas,,75000,8883597,50000,9406000
700090,10005808,7618,500090,516,2026-01-18,Belum Lunas,,75000,8900154,20000,1844000
700091,10005362,5081,500091,35,2024-05-28,Belum Lunas,,20000,14723334,10000,10681000
700092,10006369,7944,500092,282,2026-05-27,Sebagian,2026-06-17,75000,4142857,100000,1934000
700093,10003398,5969,500093,287,2026-05-28,Lunas,2026-07-09,50000,4798960,20000,6518000
700094,10005559,2235,500094,141,2024-07-19,Lunas,2024-08-17,75000,4798633,20000,8898000
700095,10005229,7936,500095,920,2024-08-08,Belum Lunas,,75000,5058495,100000,2567000
700096,10004033,5827,500096,886,2025-03-08,Lunas,2025-04-15,75000,14030193,50000,10071000
700097,10000539,907,500097,150,2026-08-06,Lunas,2026-08-19,50000,10844851,100000,17315000
700098,10001008,8431,500098,751,2023-10-27,Lunas,2023-11-14,75000,4749766,10000,10241000
700099,10003745,9847,500099,595,2026-05-17,Lunas,2026-05-19,30000,12157146,50000,5571000
700100,10007608,2224,500100,21,2026-07-22,Lunas,2026-08-16,75000,3715955,50000,11157000
700101,10007928,1272,500101,490,2026-05-15,Lunas,2026-06-10,20000,2969731,10000,14275000
700102,10006018,5764,500102,580,2025-09-14,Sebagian,2025-09-25,20000,5195432,10000,14498000
700103,10007810,7494,500103,425,2026-10-24,Lunas,2026-11-25,50000,5985135,20000,20757000
700104,10009482,7383,500104,850,2026-02-20,Lunas,2026-02-21,30000,8942384,10000,833000
700105,10003242,5112,500105,655,2026-12-15,Lunas,2027-01-30,30000,6839867,10000,43089000
700106,10003325,1731,500106,168,2023-12-06,Lunas,2024-01-21,75000,6281045,10000,1282000
700107,10009741,8854,500107,18,2026-11-02,Lunas,2026-12-06,75000,6141786,50000,3595000
700108,10000873,2444,500108,714,2025-11-07,Sebagian,2025-11-23,20000,11245985,100000,67914000
700109,10006777,644,500109,542,2026-07-09,Lunas,2026-07-12,75000,880913,50000,36259000
700110,10008829,6191,500110,841,2026-05-14,Lunas,2026-06-01,30000,6710814,20000,40364000
700111,10007488,6592,500111,91,2026-01-11,Lunas,2026-01-12,50000,13401940,10000,4031000
700112,10005630,6618,500112,596,2024-06-13,Sebagian,2024-06-24,75000,5552051,20000,13285000
700113,10004306,4522,500113,751,2026-07-02,Belum Lunas,,30000,9739995,100000,71115000
700114,10003812,6583,500114,45,2025-07-17,Lunas,2025-09-10,20000,1295692,10000,7902000
700115,10002824,2464,500115,743,2025-06-24,Lunas,2025-07-02,50000,12398483,20000,6246000
700116,10006887,6218,500116,803,2026-12-26,Lunas,2027-01-13,50000,8934440,20000,6523000
700117,10003014,6014,500117,415,2025-08-12,Lunas,2025-09-01,75000,4701229,100000,1261000
700118,10009444,3860,500118,939,2024-01-30,Belum Lunas,,75000,3004040,20000,39335000
700119,10000435,454,500119,713,2026-01-06,Sebagian,2026-02-27,75000,838487,20000,10231000
700120,10000007,7259,500120,722,2026-02-20,Lunas,2026-02-28,75000,9031909,100000,11592000
700121,10004936,1076,500121,465,2026-12-21,Lunas,2027-02-02,20000,10785237,50000,14484000
700122,10007818,6108,500122,472,2026-05-21,Belum Lunas,,75000,323970,50000,43208000
700123,10004662,2119,500123,925,2026-11-24,Lunas,2026-12-09,30000,5071792,50000,1658000
700124,10006625,1683,500124,823,2026-09-06,Belum Lunas,,50000,7102401,100000,10358000
700125,10002441,2878,500125,4,2026-05-22,Lunas,2026-05-25,20000,11969623,50000,43184000
700126,10002232,3315,500126,409,2026-07-08,Lunas,2026-07-26,20000,7460341,20000,3808000
700127,10001341,5846,500127,725,2026-10-30,Belum Lunas,,20000,3973792,50000,4520000
700128,10008775,9977,500128,770,2026-03-11,Lunas,2026-04-18,20000,9682173,20000,13266000
700129,10007326,8659,500129,224,2026-04-15,Lunas,2026-06-04,20000,8589257,50000,6102000
700130,10006430,7662,500130,190,2026-06-29,Lunas,2026-07-11,20000,3181202,20000,2562000
700131,10005128,7742,500131,743,2026-05-21,Belum Lunas,,75000,10857905,10000,51976000
700132,10002393,3207,500132,538,2026-11-07,Sebagian,2026-11-13,75000,14888383,50000,48423000
700133,10003652,1200,500133,526,2026-04-26,Lunas,2026-05-01,75000,7383458,50000,46411000
700134,10008897,9127,500134,270,2026-04-26,Belum Lunas,,20000,12952979,100000,67254000
700135,10004924,1590,500135,736,2026-06-12,Lunas,2026-06-13,30000,13608660,100000,9354000
700136,10006579,1827,500136,776,2025-12-05,Lunas,2026-01-13,30000,1725410,50000,57168000
700137,10006164,3607,500137,162,2025-07-11,Sebagian,2025-07-27,50000,9950486,50000,5391000
700138,10009109,4215,500138,889,2025-07-24,Lunas,2025-09-12,50000,6293647,10000,74435000
700139,10008751,6516,500139,254,2026-03-30,Sebagian,2026-04-13,30000,2701544,100000,1661000
700140,10004494,2979,500140,453,2026-12-09,Lunas,2027-01-23,30000,8679205,100000,13684000
700141,10000997,1524,500141,576,2026-11-28,Belum Lunas,,75000,9170673,50000,1274000
700142,10006100,39,500142,129,2025-02-07,Lunas,2025-04-01,30000,12529293,10000,822000
700143,10003934,7575,500143,958,2026-12-23,Belum Lunas,,20000,6542634,50000,14884000
700144,10001916,5474,500144,256,2026-02-28,Belum Lunas,,30000,9203181,100000,10951000
700145,10004073,6835,500145,706,2026-11-25,Lunas,2027-01-15,50000,11561332,20000,2223000
700146,10005844,173,500146,70,2025-05-07,Belum Lunas,,20000,3641744,50000,12475000
700147,10000193,452,500147,857,2026-04-28,Sebagian,2026-06-25,50000,5162861,10000,11243000
700148,10003427,1001,500148,892,2025-12-29,Lunas,2026-02-21,20000,10536465,10000,943000
700149,10002422,6134,500149,668,2025-02-01,Lunas,2025-03-07,75000,11456173,20000,2722000
700150,10005138,2596,500150,379,2026-10-31,Lunas,2026-11-02,20000,1067183,50000,6383000
700151,10001332,2422,500151,251,2025-10-17,Lunas,2025-10-20,50000,8329918,10000,12094000
700152,10000528,8640,500152,402,2026-02-21,Lunas,2026-03-28,75000,982457,20000,9747000
700153,10007912,2086,500153,266,2026-01-22,Lunas,2026-02-04,75000,5881023,10000,63530000
700154,10006847,6117,500154,178,2025-04-26,Lunas,2025-05-23,30000,460338,100000,35100000
700155,10008405,519,500155,424,2025-04-05,Lunas,2025-04-07,50000,3169800,10000,1589000
700156,10007084,1703,500156,499,2026-07-01,Lunas,2026-08-17,50000,14856510,20000,7395000
700157,10003667,2411,500157,427,2024-12-18,Sebagian,2025-01-24,20000,7379138,20000,664000
700158,10001009,9011,500158,127,2025-07-22,Belum Lunas,,75000,4927613,50000,9838000
700159,10000729,1464,500159,326,2026-11-24,Lunas,2026-12-27,75000,12654684,50000,73227000
700160,10005694,7326,500160,191,2026-09-25,Belum Lunas,,50000,8056408,10000,2787000
700161,10006625,1683,500161,104,2025-02-13,Lunas,2025-03-31,75000,3351942,100000,10358000
700162,10004865,6193,500162,914,2026-07-24,Lunas,2026-07-28,20000,4292723,10000,6584000
700163,10005030,430,500163,762,2026-10-09,Sebagian,2026-12-02,30000,9963015,20000,58311000
700164,10007261,8170,500164,578,2025-12-14,Lunas,2026-02-07,75000,9570330,20000,7498000
700165,10002608,5009,500165,738,2026-12-06,Lunas,2026-12-31,75000,3214423,50000,52516000
700166,10002671,2021,500166,159,2024-07-23,Lunas,2024-09-07,20000,5277513,10000,1954000
700167,10009949,9720,500167,377,2026-07-14,Belum Lunas,,50000,1465580,50000,2418000
700168,10005326,5883,500168,313,2026-08-30,Lunas,2026-09-10,75000,7931525,100000,65586000
700169,10000353,4646,500169,638,2025-07-17,Lunas,2025-07-31,50000,13693124,100000,17401000
700170,10004982,7905,500170,44,2024-09-18,Sebagian,2024-09-30,30000,1611806,10000,9052000
700171,10004617,1034,500171,973,2025-04-20,Lunas,2025-05-14,75000,1766768,100000,25817000
700172,10000035,3610,500172,822,2026-10-30,Sebagian,2026-12-21,20000,5269205,50000,1346000
700173,10000181,8254,500173,67,2026-11-02,Belum Lunas,,75000,10393513,20000,5749000
700174,10001204,8572,500174,459,2026-05-15,Lunas,2026-05-22,20000,9834108,50000,67311000
700175,10004683,852,500175,619,2025-06-08,Lunas,2025-07-07,75000,9922847,20000,47742000
700176,10009508,3694,500176,49,2026-10-14,Lunas,2026-11-12,30000,3864138,100000,24725000
700177,10002809,5973,500177,379,2024-06-06,Lunas,2024-07-17,50000,1683088,10000,10998000
700178,10005404,3455,500178,220,2025-05-27,Belum Lunas,,75000,1379514,10000,11664000
700179,10004755,3789,500179,276,2025-11-06,Sebagian,2025-11-22,20000,12578276,10000,3348000
700180,10004127,3516,500180,695,2024-09-06,Lunas,2024-09-08,75000,657946,50000,10913000
700181,10009615,4761,500181,767,2026-02-24,Lunas,2026-04-04,75000,10387625,50000,9189000
700182,10007268,2926,500182,115,2026-09-25,Lunas,2026-11-12,20000,12674594,50000,9286000
700183,10001985,7492,500183,462,2025-06-28,Lunas,2025-08-19,30000,6452517,10000,74379000
700184,10008958,7722,500184,160,2025-03-06,Belum Lunas,,20000,13537561,100000,2917000
700185,10001544,4995,500185,344,2025-12-01,Lunas,2026-01-05,20000,9171624,20000,15981000
700186,10005820,7798,500186,826,2026-08-25,Sebagian,2026-10-10,75000,5414710,20000,52793000
700187,10006223,1128,500187,961,2026-01-19,Lunas,2026-02-18,75000,6848340,20000,4786000
700188,10009013,3691,500188,715,2026-05-23,Sebagian,2026-06-18,50000,3944954,100000,1698000
700189,10005626,2436,500189,771,2026-07-22,Lunas,2026-07-28,75000,6519298,50000,14223000
700190,10002679,8736,500190,546,2025-10-17,Lunas,2025-12-06,30000,8919311,50000,13034000
700191,10004003,8618,500191,931,2026-10-05,Lunas,2026-11-28,50000,174015,20000,14278000
700192,10001302,7564,500192,253,2026-02-24,Lunas,2026-04-09,20000,1989651,20000,14293000
700193,10000734,493,500193,681,2026-02-02,Sebagian,2026-02-24,30000,7549502,10000,10683000
700194,10008512,7955,500194,605,2026-04-26,Belum Lunas,,50000,3762600,50000,47116000
700195,10000540,7164,500195,483,2026-06-08,Lunas,2026-07-22,75000,5244611,10000,61591000
700196,10001766,7347,500196,894,2025-11-14,Belum Lunas,,50000,258678,50000,8837000
700197,10003220,8158,500197,121,2026-01-17,Belum Lunas,,50000,699309,20000,26649000
700198,10008954,3253,500198,696,2026-07-27,Lunas,2026-07-27,30000,13871301,100000,7575000
700199,10004208,8139,500199,124,2026-12-30,Lunas,2027-02-04,75000,4008986,100000,40269000
700200,10006481,8895,500200,344,2026-01-06,Lunas,2026-03-04,30000,12567022,20000,6921000
700201,10005383,39,500201,594,2026-03-29,Lunas,2026-04-07,30000,2343742,20000,822000
700202,10003979,7767,500202,311,2025-06-03,Sebagian,2025-07-14,30000,14156241,50000,10242000
700203,10003576,7799,500203,58,2026-02-15,Lunas,2026-03-08,20000,10254075,10000,8940000
700204,10002068,3941,500204,317,2024-12-14,Lunas,2024-12-26,75000,9819255,100000,10049000
700205,10005500,8337,500205,473,2025-08-23,Lunas,2025-09-04,50000,5444415,20000,4815000
700206,10005283,569,500206,35,2026-01-25,Lunas,2026-03-10,30000,11185653,50000,28124000
700207,10004714,3630,500207,956,2026-06-15,Lunas,2026-08-04,75000,13351626,100000,67644000
700208,10004436,4317,500208,374,2026-07-12,Lunas,2026-08-29,50000,175420,100000,3174000
700209,10008923,6213,500209,74,2025-06-10,Belum Lunas,,75000,1375746,50000,1126000
700210,10007623,3660,500210,265,2026-11-13,Lunas,2026-12-16,20000,11054383,50000,40094000
