Kasus_ID,Perkara_Kasus,Deskripsi_Kasus,NIK,Pengacara_ID,Staf_ID,Tgl_Daftar,Tgl_Mulai,Tgl_Selesai,Hasil,Status_Kasus
50001,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50001 untuk NIK 100862,100862,441,982,2025-02-14,2025-11-20,2025-11-28,Menang,Selesai
50002,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50002 untuk NIK 100580,100580,184,750,2024-08-28,2025-06-10,,,Pending
50003,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50003 untuk NIK 100261,100261,73,516,2025-10-28,2025-12-16,,,Pending
50004,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50004 untuk NIK 100988,100988,112,959,2024-04-21,2025-05-28,,,Proses
50005,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50005 untuk NIK 100282,100282,676,824,2025-10-31,2025-12-09,,,Pending
50006,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50006 untuk NIK 100116,100116,496,775,2024-10-09,2024-10-25,2025-11-08,Menang,Selesai
50007,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50007 untuk NIK 100993,100993,515,39,2025-06-30,2025-07-24,,,Pending
50008,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50008 untuk NIK 100905,100905,36,75,2025-03-13,2025-11-11,2025-12-10,Damai,Selesai
50009,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50009 untuk NIK 100713,100713,461,831,2024-03-04,2024-06-03,,,Proses
50010,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50010 untuk NIK 100348,100348,83,988,2025-11-23,2025-12-17,2025-12-28,Menang,Selesai
50011,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50011 untuk NIK 100899,100899,874,985,2024-02-04,2025-12-05,2025-12-24,Menang,Selesai
50012,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50012 untuk NIK 100787,100787,992,524,2025-10-30,2025-11-01,,,Pending
50013,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50013 untuk NIK 100293,100293,42,200,2024-02-11,2024-07-19,2025-09-11,Menang,Selesai
50014,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50014 untuk NIK 100938,100938,829,481,2024-02-21,2024-12-06,,,Proses
50015,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50015 untuk NIK 100613,100613,129,369,2024-08-24,2025-03-20,2025-12-28,Menang,Selesai
50016,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50016 untuk NIK 100994,100994,549,994,2025-07-07,2025-12-22,2025-12-29,Kalah,Selesai
50017,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50017 untuk NIK 100588,100588,117,935,2024-02-05,2024-04-20,,,Pending
50018,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50018 untuk NIK 100929,100929,90,79,2024-06-01,2024-07-26,2024-12-28,Menang,Selesai
50019,Perdata: Sengketa Tanah,Kasus Perdata: Sengketa Tanah No. 50019 untuk NIK 100230,100230,513,761,2024-11-18,2025-12-12,,,Proses
50020,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50020 untuk NIK 100370,100370,276,466,2024-11-10,2025-01-31,,,Pending
50021,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50021 untuk NIK 100005,100005,375,162,2025-04-26,2025-05-03,2025-12-30,Kalah,Selesai
50022,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50022 untuk NIK 100621,100621,951,747,2025-06-21,2025-07-10,2025-07-31,Menang,Selesai
50023,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50023 untuk NIK 100588,100588,261,224,2024-08-08,2024-11-24,,,Proses
50024,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50024 untuk NIK 100028,100028,502,310,2024-06-06,2025-08-17,2025-12-03,Damai,Selesai
50025,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50025 untuk NIK 100700,100700,334,240,2025-10-24,2025-12-09,,,Proses
50026,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50026 untuk NIK 100518,100518,246,372,2025-12-20,2025-12-30,,,Proses
50027,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50027 untuk NIK 100152,100152,985,631,2024-11-28,2025-12-17,,,Pending
50028,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50028 untuk NIK 100321,100321,47,84,2025-12-29,2025-12-29,,,Proses
50029,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50029 untuk NIK 100220,100220,217,335,2025-08-17,2025-10-09,2025-10-27,Kalah,Selesai
50030,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50030 untuk NIK 100521,100521,895,942,2024-12-13,2025-02-10,,,Proses
50031,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50031 untuk NIK 100625,100625,35,594,2024-06-29,2024-10-08,2025-05-03,Menang,Selesai
50032,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50032 untuk NIK 100534,100534,226,84,2025-07-24,2025-08-01,2025-10-01,Damai,Selesai
50033,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 50033 untuk NIK 100916,100916,813,674,2024-07-20,2024-10-06,,,Pending
50034,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 50034 untuk NIK 100365,100365,525,565,2024-01-17,2024-05-22,,,Pending
50035,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50035 untuk NIK 100499,100499,367,393,2025-12-13,2025-12-15,,,Proses
50036,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 50036 untuk NIK 100230,100230,952,715,2024-12-27,2025-03-26,2025-10-30,Kalah,Selesai
50037,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 50037 untuk NIK 100635,100635,617,95,2025-01-31,2025-09-04,,,Pending
50038,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 50038 untuk NIK 100460,100460,887,399,2024-11-08,2025-04-03,,,Pending
