Pengacara_ID,Nama_Pengacara,Tgl_Bgb_Pca,Spesialisasi,No_Tlp_Pca,Alamat_Pengacara,Email_Pengacara,Tempat_Lahir_Pca,Tgl_Lhr_Pca,Gender_Pengacara
1,Wulan Oktaviani,2024-09-22,Hukum Keluarga,+62-093-795-874,"Gg. Abdul Muis No. 1, Sorong, Papua 20941",pengacara1_go-center-choice@perum.id,Salatiga,1977-12-24,Laki-Laki
2,Restu Prasetya,2024-04-04,Hukum Pidana,(0815) 107 2204,"Jalan Soekarno Hatta No. 581, Binjai, Sumatera Barat 28823",pengacara2_subject-gun@perum.web.id,Sorong,1995-11-26,Wanita
3,Lulut Maryadi,2024-05-29,Hukum Bisnis,+62-0171-910-14,"Gg. Laswi No. 6, Kotamobagu, SG 98825",pengacara3_show-truth-culture@pt.ponpes.id,Langsa,1975-08-27,Laki-Laki
4,Aswani Sirait,2025-11-04,Hukum Keluarga,+62 (053) 777 2,"Gg. Kutai No. 0, Tarakan, KU 76871",pengacara4_song-simply@ud.gov,Medan,1980-10-26,Laki-Laki
5,Aslijan Latupono,2024-04-08,Hukum Perdata,(0280) 036-8109,"Jalan Rawamangun No. 50, Padang, BT 16049",pengacara5_dinner-space-entire@perum.desa.id,Payakumbuh,1973-09-21,Wanita
6,"Cut Nurul Pratiwi, S.Gz",2024-03-04,Hukum Properti,+62 (070) 757 1,"Gg. Suryakencana No. 89, Batam, SU 65413",pengacara6_international-shake@pt.my.id,Kupang,1976-04-06,Laki-Laki
7,"R. Qori Irawan, M.Pd",2024-06-03,Hukum Bisnis,+62 (0694) 042-,"Jl. Rajawali Timur No. 48, Kupang, DKI Jakarta 86323",pengacara7_guy-short-contain@ud.int,Subulussalam,1978-02-10,Laki-Laki
8,"Ir. Silvia Fujiati, M.Pd",2025-04-03,Hukum Keluarga,+62-0863-762-16,"Gg. Suniaraja No. 558, Binjai, BB 61754",pengacara8_ago-enter-some-lead@cv.sch.id,Banjarbaru,1985-07-04,Laki-Laki
9,Kania Lestari,2024-01-18,Hukum Perdata,(004) 523 6831,"Gg. Ciumbuleuit No. 4, Sukabumi, BA 53585",pengacara9_stage-reveal@pt.mil,Langsa,1987-03-15,Wanita
10,Raisa Sinaga,2025-04-06,Hukum Pidana,+62 (263) 434-1,"Jalan Asia Afrika No. 856, Pangkalpinang, Kalimantan Utara 53824",pengacara10_simple-force-land@perum.mil.id,Serang,1994-09-08,Laki-Laki
11,Rika Santoso,2025-10-03,Hukum Pajak,+62 (657) 060 9,"Jalan Jayawijaya No. 29, Bekasi, PB 44570",pengacara11_participant-perhaps@pd.net,Kota Administrasi Jakarta Barat,1987-02-20,Laki-Laki
12,Prayoga Hutagalung,2024-09-07,Hukum Tata Negara,+62-0988-503-56,"Jalan Bangka Raya No. 335, Pagaralam, SB 43520",pengacara12_family-option-local@pt.gov,Tarakan,1987-12-07,Laki-Laki
