Staf_ID,Nama_Staf,Tgl_Bgb_Staf,No_Tlp_Staf,Email_Staf,Tgl_lhr_Staf,Gender_Staf,Tp_Lhr_Staf,Alamat_Staf
1,Kenzie Wijaya,2025-12-16,+62 (092) 625-3,staf1_lawyer-beat-son@ud.or.id,1998-02-15,Laki-Laki,Subulussalam,"Gang Kutai No. 4, Singkawang, Sulawesi Barat 80724"
2,Dalima Narpati,2025-09-17,+62 (37) 679 73,staf2_indicate-tend-kind@cv.sch.id,1998-12-24,Wanita,Palembang,"Jl. Dr. Djunjunan No. 27, Mojokerto, KR 48063"
3,Cut Ella Hidayanto,2025-08-01,+62 (050) 934-6,staf3_thus-necessary@pt.co.id,1986-11-06,Laki-Laki,Bau-Bau,"Gg. Ciwastra No. 612, Cirebon, DKI Jakarta 73365"
4,Kasiyah Yuniar,2025-05-26,+62-696-291-106,staf4_manager-late@ud.mil,2004-03-23,Laki-Laki,Sabang,"Jalan Cikutra Barat No. 759, Malang, Papua Barat 05367"
5,Pia Safitri,2025-10-17,+62 (077) 637-9,staf5_little-meeting-soon@pt.sch.id,1992-11-30,Wanita,Tegal,"Gang KH Amin Jasuta No. 9, Pekalongan, SG 11505"
6,"Dt. Galar Megantara, S.Gz",2025-09-24,+62 (002) 497 1,staf6_side-site-floor@pd.int,1991-06-03,Wanita,Lubuklinggau,"Gang Yos Sudarso No. 951, Kotamobagu, SN 80651"
7,Aslijan Kusumo,2024-12-16,+62-198-322-957,staf7_nature-ready-offer@ud.go.id,1985-11-15,Laki-Laki,Tomohon,"Jalan Rajawali Timur No. 17, Prabumulih, Kalimantan Selatan 36696"
8,Elon Agustina,2025-06-28,+62 (058) 174-5,staf8_little-which@pd.mil.id,2004-08-04,Wanita,Bandar Lampung,"Jalan Gardujati No. 66, Pekanbaru, Jawa Barat 25122"
9,"Nasab Padmasari, S.E.",2025-05-19,083 615 3900,staf9_culture-tv-small@pd.net.id,1988-11-15,Wanita,Madiun,"Gg. Stasiun Wonokromo No. 75, Payakumbuh, Aceh 37862"
10,Argono Dabukke,2025-05-24,(047) 426-6199,staf10_pm-size-loss-news@pd.id,2003-12-02,Wanita,Kota Administrasi Jakarta Pusat,"Jalan Rajawali Timur No. 69, Pasuruan, SG 25874"
11,Tgk. Lintang Sitorus,2024-01-06,+62 (0019) 401-,staf11_can-cell-employee@cv.int,1996-04-10,Laki-Laki,Pagaralam,"Gang Peta No. 2, Sorong, Kalimantan Barat 31688"
12,Usyi Gunawan,2024-04-06,+62 (660) 610-9,staf12_health-policy@perum.id,1985-08-07,Wanita,Solok,"Gg. Dr. Djunjunan No. 00, Pontianak, Sulawesi Barat 12951"
13,Aslijan Andriani,2024-11-12,081 728 1650,staf13_another-result-out@pd.ponpes.id,2003-12-26,Laki-Laki,Meulaboh,"Gang Ciwastra No. 871, Kediri, JA 94131"
14,Putri Kusmawati,2025-02-15,+62 (085) 773 4,staf14_reality-save-table@perum.net,1987-06-01,Wanita,Depok,"Gg. Cikutra Barat No. 52, Ambon, KS 74516"
15,KH. Eman Najmudin,2024-09-30,+62-0398-426-81,staf15_film-spend-various@pt.go.id,1988-03-15,Laki-Laki,Padangpanjang,"Gang Ciumbuleuit No. 414, Bontang, SB 77398"
16,Harja Widodo,2025-01-15,(087) 137 6941,staf16_laugh-feel-concern@pd.desa.id,1999-01-18,Wanita,Manado,"Jl. Sukabumi No. 1, Dumai, Sumatera Utara 27465"
17,Daliono Mulyani,2024-05-01,+62 (0488) 981 ,staf17_if-drop-onto-heart@pd.gov,1997-03-27,Wanita,Bukittinggi,"Gang Sentot Alibasa No. 967, Bengkulu, SU 10119"
18,Talia Tamba,2024-05-27,0842604128,staf18_write-generation@pd.net.id,2004-05-04,Laki-Laki,Banjar,"Jalan Lembong No. 57, Palu, MU 08994"
19,Gilda Hasanah,2024-01-21,+62 (060) 330 6,staf19_believe-hear@pd.ac.id,2001-06-11,Laki-Laki,Mojokerto,"Jalan Pasteur No. 07, Tebingtinggi, MU 37059"
20,"Yance Anggraini, M.TI.",2025-12-02,(0078) 330 4161,staf20_according-east@perum.mil,2001-10-30,Laki-Laki,Ternate,"Gg. Tubagus Ismail No. 593, Makassar, KR 55811"
21,Bakti Damanik,2025-04-11,088 395 6735,staf21_whose-answer-month@cv.co.id,1998-02-24,Laki-Laki,Padang Sidempuan,"Gg. Veteran No. 684, Meulaboh, KR 14658"
22,Talia Pradana,2024-07-11,+62 (25) 269 46,staf22_politics-quickly@pd.mil.id,1998-05-04,Laki-Laki,Gorontalo,"Gg. Rajawali Barat No. 5, Kendari, Kepulauan Bangka Belitung 91833"
23,Caket Palastri,2024-12-15,+62 (971) 185-6,staf23_college-majority@pd.co.id,1988-04-07,Wanita,Tanjungbalai,"Jalan Pacuan Kuda No. 253, Pekalongan, Jawa Barat 41305"
24,Febi Sihotang,2024-12-12,(0597) 639 3105,staf24_memory-finally-age@ud.net.id,2005-11-30,Wanita,Sukabumi,"Jalan Sentot Alibasa No. 904, Kota Administrasi Jakarta Pusat, KS 82111"
25,"Langgeng Aryani, M.Kom.",2025-08-20,+62 (78) 551 61,staf25_blue-receive@pt.desa.id,1991-07-11,Wanita,Madiun,"Gang Kendalsari No. 4, Batu, RI 61755"
26,Vero Zulkarnain,2024-11-17,+62 (059) 997 5,staf26_red-majority-ok@pd.int,1986-05-09,Wanita,Pontianak,"Gang Rumah Sakit No. 927, Palangkaraya, Lampung 66313"
27,Balangga Suwarno,2025-11-08,+62 (0484) 006 ,staf27_four-blood-mind@cv.my.id,1985-06-20,Laki-Laki,Bandung,"Gg. Bangka Raya No. 98, Tegal, KB 87991"
28,R. Cakrabuana Mulyani,2024-03-25,+62 (539) 318-8,staf28_interest-wish-coach@pd.co.id,1987-04-07,Wanita,Sorong,"Jalan BKR No. 98, Binjai, Sulawesi Barat 22664"
29,Elisa Namaga,2025-09-01,(0380) 670-6695,staf29_police-door-reveal@pt.sch.id,1994-10-30,Wanita,Salatiga,"Jl. Otto Iskandardinata No. 6, Jambi, KR 68013"
30,"Putri Hidayanto, M.M.",2024-06-25,+62-099-811-358,staf30_yourself-throw-last@cv.net.id,1999-07-28,Laki-Laki,Pagaralam,"Gg. Gedebage Selatan No. 06, Bitung, SU 29654"
31,Gara Prabowo,2025-09-17,+62-0372-897-90,staf31_really-state@pt.mil.id,2000-12-28,Wanita,Mojokerto,"Jalan Otto Iskandardinata No. 59, Sorong, BB 89613"
32,Mulyono Laksita,2025-10-15,+62 (791) 383-1,staf32_politics-early@perum.web.id,1985-07-26,Laki-Laki,Binjai,"Gg. Suniaraja No. 382, Padang, MU 26804"
33,Pia Prakasa,2024-11-11,084 493 5560,staf33_tv-no-century-last@pt.desa.id,2000-12-25,Wanita,Bukittinggi,"Gg. Kutisari Selatan No. 6, Pasuruan, Papua Barat 38853"
34,"Eka Pranowo, S.E.",2025-04-26,+62 (532) 400-4,staf34_set-expect-allow@pt.biz.id,1999-12-14,Laki-Laki,Madiun,"Jalan Joyoboyo No. 926, Bau-Bau, JT 50398"
35,"R. Catur Uwais, S.Sos",2024-11-05,0883176283,staf35_true-cost-student@pd.ponpes.id,2001-12-09,Wanita,Yogyakarta,"Jalan Dipatiukur No. 15, Parepare, NB 01590"
36,Putri Lestari,2024-06-29,084 893 8278,staf36_main-them-voice@pd.or.id,1987-02-05,Laki-Laki,Probolinggo,"Jl. Gardujati No. 1, Pematangsiantar, MU 01803"
37,Bella Maryati,2024-09-11,+62 (047) 148-4,staf37_popular-peace-old@cv.co.id,2000-06-10,Wanita,Makassar,"Jl. Indragiri No. 30, Tangerang, SU 99634"
38,dr. Ophelia Megantara,2024-07-10,+62 (84) 738 00,staf38_little-indeed@pd.org,1992-07-05,Laki-Laki,Kota Administrasi Jakarta Utara,"Gg. Surapati No. 808, Tebingtinggi, LA 20211"
39,Bakidin Hutasoit,2024-06-09,(078) 103 1111,staf39_fact-director-my@ud.net.id,1988-08-08,Laki-Laki,Serang,"Gg. Raya Setiabudhi No. 1, Sawahlunto, SN 57106"
40,Ajiman Wahyuni,2025-12-15,(029) 442 7399,staf40_exactly-shoulder@ud.ac.id,1986-07-26,Wanita,Surabaya,"Gg. Dipatiukur No. 16, Balikpapan, LA 64480"
41,Ulya Mayasari,2025-04-25,(0181) 508 6888,staf41_get-among-fine@cv.or.id,1986-11-29,Wanita,Singkawang,"Gang W.R. Supratman No. 3, Cirebon, Sulawesi Barat 19274"
42,Dariati Wibowo,2025-12-15,0871334098,staf42_authority-on-indeed@perum.id,1988-12-07,Wanita,Padang,"Jalan Setiabudhi No. 129, Sabang, Maluku 70624"
43,"Bakijan Laksita, M.Farm",2024-03-28,(0045) 163 7451,staf43_myself-attorney@perum.sch.id,1997-01-08,Wanita,Manado,"Gang W.R. Supratman No. 8, Bandung, Kepulauan Riau 82089"
44,Paiman Astuti,2025-07-30,+62 (057) 177 4,staf44_fast-stock-boy@cv.co.id,1988-06-11,Wanita,Binjai,"Gang Joyoboyo No. 54, Makassar, Riau 60155"
45,Qori Iswahyudi,2025-02-06,(0667) 504-6935,staf45_doctor-debate@pt.net,1994-11-25,Wanita,Tarakan,"Gg. Kebonjati No. 69, Batu, KS 98943"
46,Sari Padmasari,2024-03-19,+62-545-206-394,staf46_religious-base@pd.org,1988-04-27,Laki-Laki,Tanjungpinang,"Jl. Rajiman No. 797, Padangpanjang, Kalimantan Tengah 48154"
47,"Indra Wastuti, S.T.",2024-05-09,+62 (033) 756 6,staf47_man-area-letter@perum.int,1985-09-13,Laki-Laki,Pematangsiantar,"Jalan H.J Maemunah No. 6, Purwokerto, SU 59632"
