Kasus_ID,Perkara_Kasus,Deskripsi_Kasus,NIK,Pengacara_ID,Staf_ID,Tgl_Daftar,Tgl_Mulai,Tgl_Selesai,Hasil,Status_Kasus
1,Gugatan Waris,Sengketa warisan tanah antar saudara,3501041203050001,13,56,2025-06-11,2025-06-15,2025-11-20,Menang,Selesai
2,KDRT,Kasus kekerasan dalam rumah tangga,3501041203050002,44,79,2025-06-12,2025-06-18,2026-03-05,Kalah,Selesai
3,Kepailitan,Permohonan pailit perusahaan dagang,3501041203050003,67,11,2025-06-13,2025-06-25,2026-08-10,Menang,Selesai
4,Pelanggaran Hak Cipta,Penggunaan logo tanpa izin,3501041203050004,80,94,2025-06-14,2025-07-01,2026-01-28,Menang,Selesai
5,Sengketa Tanah,Gugatan kepemilikan lahan sengketa,3501041203050005,17,3,2025-06-15,2025-07-05,2025-10-30,Menang,Selesai
6,Penggelapan Dana,Kasus penggelapan dana nasabah bank,3501041203050006,31,48,2025-06-16,2025-07-10,2026-06-15,Proses,Proses
7,Restrukturisasi Utang,Negosiasi utang-piutang perusahaan,3501041203050007,55,22,2025-06-17,2025-07-15,2025-12-01,Menang,Selesai
8,Paten Inovasi,Pendaftaran dan perlindungan paten produk baru,3501041203050008,99,65,2025-06-18,2025-07-20,2026-04-22,Menang,Selesai
9,Perceraian,Gugatan cerai dengan harta gono-gini,3501041203050009,1,88,2025-06-19,2025-07-25,2026-02-14,Kalah,Selesai
10,Pencurian Berat,Tindak pidana pencurian disertai kekerasan,3501041203050010,40,33,2025-06-20,2025-08-01,2026-10-01,Kalah,Selesai
11,Merger & Akuisisi,Pendampingan proses penggabungan dua perusahaan,3501041203050011,53,60,2025-06-21,2025-08-05,2026-09-05,Menang,Selesai
12,Sengketa Merek,Gugatan pembatalan merek terdaftar,3501041203050012,87,14,2025-06-22,2025-08-10,2025-11-03,Proses,Proses
13,Wanprestasi,Gugatan atas ingkar janji dalam perjanjian sewa,3501041203050013,24,91,2025-06-23,2025-08-15,2026-01-19,Menang,Selesai
14,Narkotika,Kasus penyalahgunaan narkoba jenis sabu,3501041203050014,35,76,2025-06-24,2025-08-20,2026-07-25,Kalah,Selesai
15,Arbitrase Dagang,Penyelesaian sengketa kontrak bisnis internasional,3501041203050015,70,8,2025-06-25,2025-08-25,2026-03-11,Menang,Selesai
16,Indikasi Geografis,Perlindungan produk khas daerah,3501041203050016,92,49,2025-06-26,2025-09-01,2026-05-09,Menang,Selesai
17,Utang Piutang,Gugatan sederhana penagihan utang,3501041203050017,10,38,2025-06-27,2025-09-05,2026-01-04,Kalah,Selesai
