NIK,Nama_Klien,Tgl_Daftar,No_Tlp_K,Email_K,Alamat_K,Gender_K,Tmpt_tgl_lhr_K,Tgl_lhr_K,Jenis_LH
3501041203050001,Joko Santoso,2025-06-10,81234567890,joko.santoso@mail.com,Jl. Merdeka No. 10,Laki-Laki,Surabaya,1995-10-20,1
3501041203050002,Siti Aisyah,2025-06-11,81345678901,siti.aisyah@mail.com,Jl. Kembang Sari 2A,Wanita,Bandung,1998-05-15,2
3501041203050003,Bambang Pamungkas,2025-06-11,85789012345,bambang.p@mail.com,Jl. Pahlawan 15,Laki-Laki,Jakarta,1990-01-01,1
3501041203050004,Dewi Lestari,2025-06-12,87801234567,dewi.lestari@mail.com,Komplek Griya Indah Blok C5,Wanita,Yogyakarta,2001-11-30,2
3501041203050005,Rudi Hartono,2025-06-12,82123456789,rudi.hartono@mail.com,Gg. Makmur No. 8,Laki-Laki,Medan,1985-07-25,2
3501041203050006,Putri Amelia,2025-06-13,85234567890,putri.amelia@mail.com,Perumahan Harmoni Blok A10,Wanita,Semarang,1993-03-12,1
3501041203050007,Faisal Rahman,2025-06-13,81567890123,faisal.rahman@mail.com,Jl. Raya Utara Km. 5,Laki-Laki,Malang,2000-09-05,2
3501041203050008,Maya Sari,2025-06-14,81890123456,maya.sari@mail.com,Jl. Kenanga No. 45,Wanita,Jakarta,1996-12-08,1
3501041203050009,Hadi Wijaya,2025-06-14,85678901234,hadi.wijaya@mail.com,Kp. Rambutan RT 03/RW 01,Laki-Laki,Surabaya,1988-04-22,2
3501041203050010,Nina Kartika,2025-06-15,81901234567,nina.kartika@mail.com,Jl. Damai 33,Wanita,Bandung,1992-06-18,2
3501041203050011,Taufik Hidayat,2025-06-15,81112345678,taufik.h@mail.com,Perumahan Citra Asri No. 12,Laki-Laki,Bekasi,1987-02-14,1
3501041203050012,Linda Susanti,2025-06-16,85823456789,linda.susanti@mail.com,Jl. Kebon Jeruk 10B,Wanita,Bogor,1999-08-28,2
3501041203050013,Dedi Iskandar,2025-06-16,87734567890,dedi.iskandar@mail.com,Jl. Kancil No. 7,Laki-Laki,Gresik,1994-04-03,1
3501041203050014,Ayu Wulandari,2025-06-17,82245678901,ayu.wulandari@mail.com,Komplek Permata Hijau Z9,Wanita,Sidoarjo,2002-10-10,2
3501041203050015,Eko Prasetyo,2025-06-17,81656789012,eko.prasetyo@mail.com,Jl. Elang No. 22,Laki-Laki,Palembang,1984-11-27,1
3501041203050016,Vina Oktavia,2025-06-18,85367890123,vina.oktavia@mail.com,Jl. Veteran 55,Wanita,Makassar,1997-01-05,2
3501041203050017,Bayu Nugroho,2025-06-18,81778901234,bayu.nugroho@mail.com,Gg. Sejahtera 14,Laki-Laki,Depok,1991-05-20,1
3501041203050018,Rina Sari,2025-06-19,81489012345,rina.sari@mail.com,Perumahan Nusa Indah B3,Wanita,Tangerang,1995-12-19,2
3501041203050019,Andi Pratama,2025-06-19,85990123456,andi.pratama@mail.com,Jl. Cendrawasih 11,Laki-Laki,Cirebon,1989-06-07,2
3501041203050020,Mega Wijaya,2025-06-20,87901234567,mega.wijaya@mail.com,Jl. Setia Budi No. 19,Wanita,Solo,2003-09-02,1
3501041203050021,Gilang Ramadhan,2025-06-20,82301234567,gilang.r@mail.com,Komplek Jaya Abadi 4,Laki-Laki,Pekanbaru,1996-03-24,2
3501041203050022,Citra Dewi,2025-06-21,81102345678,citra.dewi@mail.com,Jl. Mawar Merah 8A,Wanita,Samarinda,1986-10-14,1
3501041203050023,Denny Malik,2025-06-21,85513456789,denny.malik@mail.com,Gg. Kecil No. 22,Laki-Laki,Banjarmasin,1993-01-29,2
3501041203050024,Fina Rahmawati,2025-06-22,87624567890,fina.r@mail.com,Jl. Mangga Dua 77,Wanita,Padang,2000-07-06,2
3501041203050025,Ivan Darmawan,2025-06-22,82035678901,ivan.d@mail.com,Perumahan Hijau Daun F6,Laki-Laki,Denpasar,1983-04-17,1
3501041203050026,Kiki Handayani,2025-06-23,81446789012,kiki.h@mail.com,Jl. Nangka 18,Wanita,Makassar,1998-11-23,2
3501041203050027,Lukman Hakim,2025-06-23,85157890123,lukman.h@mail.com,Komplek Sejuta Bintang 1B,Laki-Laki,Jakarta,1990-12-01,1
3501041203050028,Mutiara Indah,2025-06-24,87268901234,mutiara.i@mail.com,Jl. Kuda Terbang 3,Wanita,Surabaya,1994-02-16,2
3501041203050029,Nova Setyawan,2025-06-24,82779012345,nova.s@mail.com,Gg. Buntu No. 1,Laki-Laki,Bandung,1985-08-30,2
3501041203050030,Puspa Sari,2025-06-25,81380123456,puspa.sari@mail.com,Jl. Anggrek Hitam 9,Wanita,Yogyakarta,2001-04-09,1
3501041203050031,Rahmat Jaya,2025-06-25,85491234567,rahmat.jaya@mail.com,Perumahan Nusa Bakti C8,Laki-Laki,Medan,1999-07-13,2
3501041203050032,Siska Melati,2025-06-26,87502345678,siska.melati@mail.com,Jl. Pulau Bali No. 50,Wanita,Semarang,1997-09-29,1
3501041203050033,Tegar Saputra,2025-06-26,82913456789,tegar.s@mail.com,Kp. Nelayan RT 01/RW 05,Laki-Laki,Malang,1988-06-04,2
3501041203050034,Umi Kalsum,2025-06-27,81024567890,umi.kalsum@mail.com,Jl. Cempaka Putih 17,Wanita,Jakarta,1992-03-21,1
3501041203050035,Vicky Aditya,2025-06-27,85335678901,vicky.a@mail.com,Jl. Kartini No. 4,Laki-Laki,Surabaya,1995-10-02,2
3501041203050036,Wulan Guritno,2025-06-28,87446789012,wulan.g@mail.com,Komplek Mega Indah D1,Wanita,Bandung,1986-11-11,2
3501041203050037,Yusuf Mansyur,2025-06-28,82857890123,yusuf.m@mail.com,Jl. Gatot Subroto 7,Laki-Laki,Bekasi,2000-01-26,1
3501041203050038,Zahra Lutfia,2025-06-29,81268901234,zahra.lutfia@mail.com,Gg. Harapan Jaya 10,Wanita,Bogor,1993-05-08,2
3501041203050039,Abdul Gani,2025-06-29,85079012345,abdul.gani@mail.com,Jl. Sudirman 88,Laki-Laki,Gresik,1987-12-15,1
3501041203050040,Bunga Citra,2025-06-30,87180123456,bunga.citra@mail.com,Perumahan Mutiara Blok G2,Wanita,Sidoarjo,1998-08-03,2
3501041203050041,Candra Kirana,2025-06-30,82691234567,candra.k@mail.com,Jl. Rajawali No. 30,Laki-Laki,Palembang,1991-03-10,1
3501041203050042,Diana Putri,2025-07-01,81302345678,diana.putri@mail.com,Komplek Elite 2,Wanita,Makassar,1996-09-01,2
3501041203050043,Erick Thohir,2025-07-01,85413456789,erick.t@mail.com,Jl. Diponegoro 12,Laki-Laki,Depok,1984-06-26,2
3501041203050044,Ferry Irawan,2025-07-02,87524567890,ferry.irawan@mail.com,Gg. Damai Sejati 5,Laki-Laki,Tangerang,1999-02-18,1
3501041203050045,Gita Gutawa,2025-07-02,82935678901,gita.gutawa@mail.com,Jl. Pahlawan Seribu 6,Wanita,Cirebon,1994-07-07,2
3501041203050046,Hesti Purwadinata,2025-07-03,81046789012,hesti.p@mail.com,Perumahan Kencana Indah B4,Wanita,Solo,1989-11-25,1
3501041203050047,Imam Syafei,2025-07-03,85357890123,imam.syafei@mail.com,Jl. Lurus No. 100,Laki-Laki,Pekanbaru,2003-01-16,2
3501041203050048,Jihan Audy,2025-07-04,87468901234,jihan.audy@mail.com,Komplek Bintang Timur C7,Wanita,Samarinda,1997-04-29,2
3501041203050049,Kevin Julio,2025-07-04,82879012345,kevin.julio@mail.com,Jl. Kucing Garong 1,Laki-Laki,Banjarmasin,1992-10-23,1
3501041203050050,Lia Emilia,2025-07-05,81280123456,lia.emilia@mail.com,Jl. Kembang Api No. 11,Wanita,Padang,1985-05-09,2
3501041203050051,Mario Teguh,2025-07-05,85091234567,mario.teguh@mail.com,Perumahan Griya Asri No. 1,Laki-Laki,Denpasar,1996-12-03,1
3501041203050052,Nia Ramadhani,2025-07-06,87102345678,nia.r@mail.com,Jl. Sukamaju 44,Wanita,Makassar,1990-03-06,2
3501041203050053,Omar Daniel,2025-07-06,82613456789,omar.daniel@mail.com,Gg. Tenang No. 2,Laki-Laki,Jakarta,1994-09-19,2
3501041203050054,Pevita Pearce,2025-07-07,81324567890,pevita.p@mail.com,Jl. Senopati 5,Wanita,Surabaya,2001-01-14,1
3501041203050055,Qory Sandioriva,2025-07-07,85435678901,qory.s@mail.com,Komplek Indah Jaya E3,Wanita,Bandung,1998-06-29,2
3501041203050056,Rizky Febian,2025-07-08,87546789012,rizky.f@mail.com,Jl. Gajah Mada 10,Laki-Laki,Yogyakarta,1995-02-05,1
3501041203050057,Sheila Dara,2025-07-08,82957890123,sheila.dara@mail.com,Perumahan Elok Blok F1,Wanita,Medan,1993-08-11,2
