Penagihan_ID,NIK,LH_ID,Kasus_ID,Staf_ID,Tgl_Penagihan,Status_Penagihan,Tgl_Bayar,Biaya_Layanan_Hukum,Biaya_Admin,Biaya_PendaftaranPgd,Biaya_SalinanPts
1,3501041203050001,1,1,56,2025-06-16,Lunas,2025-06-16,500000,35000,150000,50000
2,3501041203050002,1,2,79,2025-06-18,Belum Lunas,,500000,45000,200000,75000
3,3501041203050003,1,3,11,2025-06-25,Lunas,2025-06-27,500000,50000,350000,100000
4,3501041203050004,1,4,94,2025-07-01,Lunas,2025-07-05,500000,25000,120000,60000
5,3501041203050005,1,5,3,2025-07-05,Lunas,2025-07-05,500000,30000,180000,45000
6,3501041203050006,1,6,48,2025-07-10,Belum Lunas,,500000,60000,400000,120000
7,3501041203050007,1,7,22,2025-07-15,Lunas,2025-07-17,500000,40000,250000,80000
8,3501041203050008,1,8,65,2025-07-20,Lunas,2025-07-21,500000,55000,175000,65000
9,3501041203050009,1,9,88,2025-07-25,Belum Lunas,,500000,35000,150000,50000
10,3501041203050010,1,10,33,2025-08-01,Lunas,2025-08-01,500000,45000,300000,90000
11,3501041203050011,1,11,60,2025-08-05,Lunas,2025-08-08,500000,50000,500000,150000
12,3501041203050012,1,12,14,2025-08-10,Lunas,2025-08-12,500000,25000,100000,40000
13,3501041203050013,1,13,91,2025-08-15,Belum Lunas,,500000,30000,160000,70000
14,3501041203050014,1,14,76,2025-08-20,Lunas,2025-08-25,500000,40000,220000,85000
15,3501041203050015,1,15,8,2025-08-25,Lunas,2025-08-25,500000,60000,450000,130000
16,3501041203050016,1,16,49,2025-09-01,Lunas,2025-09-05,500000,35000,130000,55000
17,3501041203050017,1,17,38,2025-09-05,Belum Lunas,,500000,20000,80000,30000
18,3501041203050018,1,18,72,2025-09-10,Lunas,2025-09-12,500000,50000,320000,110000
19,3501041203050019,1,19,97,2025-09-15,Lunas,2025-09-18,500000,55000,380000,140000
20,3501041203050020,1,20,29,2025-09-20,Lunas,2025-09-20,500000,40000,190000,70000
21,3501041203050021,1,21,54,2025-09-25,Belum Lunas,,500000,35000,150000,50000
22,3501041203050022,1,22,71,2025-10-01,Lunas,2025-10-01,500000,70000,550000,180000
23,3501041203050023,1,23,16,2025-10-05,Lunas,2025-10-08,500000,45000,280000,95000
24,3501041203050024,1,24,82,2025-10-10,Belum Lunas,,500000,30000,110000,45000
25,3501041203050025,1,25,95,2025-10-15,Lunas,2025-10-15,500000,35000,160000,50000
26,3501041203050026,1,26,21,2025-10-20,Lunas,2025-10-22,500000,40000,210000,75000
27,3501041203050027,1,27,36,2025-10-25,Belum Lunas,,500000,65000,420000,125000
28,3501041203050028,1,28,77,2025-11-01,Lunas,2025-11-05,500000,30000,140000,60000
29,3501041203050029,1,29,59,2025-11-05,Lunas,2025-11-05,500000,35000,150000,55000
