Pengacara_ID,Nama_Pengacara,Tgl_Bgb_Pca,Spesialisasi,No_Tlp_Pca,Alamat_Pengacara,Email_Pengacara,Tempat_Lahir_Pca,Tgl_Lhr_Pca,Gender_Pengacara
1,Rizky Adityo,2024-01-15,Hukum Perdata,81211122201,Jl. Kenangan No. 1,rizky.adityo@law.com,Jakarta,1985-05-10,Laki-Laki
2,Amelia Putri,2024-02-20,Hukum Pidana,81322233302,Komplek Elite Blok B,amelia.putri@law.com,Surabaya,1990-11-25,Wanita
3,Bagus Setiawan,2024-03-05,Hukum Niaga,85733344403,Perumahan Indah Asri 4,bagus.setiawan@law.com,Bandung,1978-08-12,Laki-Laki
4,Citra Handayani,2024-04-10,Hukum HKI,87844455504,Gg. Damai Sejati 12,citra.handayani@law.com,Yogyakarta,1995-03-03,Wanita
5,Dian Permana,2024-05-15,Hukum Perdata,82155566605,Jl. Pahlawan No. 50,dian.permana@law.com,Medan,1982-12-18,Laki-Laki
6,Eka Sari,2024-06-20,Hukum Pidana,85266677706,Kp. Sejahtera RT 01/RW 03,eka.sari@law.com,Semarang,1992-07-07,Wanita
7,Farid Lukman,2024-07-25,Hukum Niaga,81577788807,Jl. Raya Utama Km. 2,farid.lukman@law.com,Malang,1988-04-01,Laki-Laki
8,Gita Wulandari,2024-08-30,Hukum HKI,81888899908,Komplek Puri Mas G9,gita.wulandari@law.com,Jakarta,1997-09-16,Wanita
9,Hadi Nugroho,2024-09-05,Hukum Perdata,85699900009,Jl. Merpati No. 33,hadi.nugroho@law.com,Surabaya,1980-06-29,Laki-Laki
10,Indah Lestari,2024-10-10,Hukum Pidana,81900011110,Perumahan Sentosa A1,indah.lestari@law.com,Bandung,1994-01-22,Wanita
11,Joko Susilo,2024-11-15,Hukum Niaga,81111122211,Jl. Kertajaya 45,joko.susilo@law.com,Bekasi,1975-10-05,Laki-Laki
12,Kania Dewi,2024-12-20,Hukum HKI,85822233312,Gg. Mawar No. 7,kania.dewi@law.com,Bogor,1991-03-08,Wanita
13,Lukman Hidayat,2025-01-25,Hukum Perdata,87733344413,Jl. Veteran 10,lukman.hidayat@law.com,Gresik,1984-11-03,Laki-Laki
14,Mega Silviana,2025-02-01,Hukum Pidana,82244455514,Komplek Green Garden B2,mega.silviana@law.com,Sidoarjo,1999-06-19,Wanita
15,Nugroho Jati,2025-02-15,Hukum Niaga,81655566615,Jl. Elang Merah 11,nugroho.jati@law.com,Palembang,1979-02-14,Laki-Laki
16,Olivia Zahra,2025-03-02,Hukum HKI,85366677716,Perumahan Griya Abadi Z12,olivia.zahra@law.com,Makassar,1996-09-28,Wanita
17,Pandu Wicaksono,2025-03-17,Hukum Perdata,81777788817,Jl. Cendrawasih No. 2,pandu.wicaksono@law.com,Depok,1986-04-20,Laki-Laki
18,Qori Maulida,2025-04-01,Hukum Pidana,81488899918,Gg. Pelangi Indah 5,qori.maulida@law.com,Tangerang,1993-11-09,Wanita
19,Rahmat Firdaus,2025-04-16,Hukum Niaga,85999900019,Jl. Setia Budi 77,rahmat.firdaus@law.com,Cirebon,1981-05-27,Laki-Laki
20,Sinta Bela,2025-05-01,Hukum HKI,87900011120,Komplek Cipta Rasa A8,sinta.bela@law.com,Solo,1998-10-04,Wanita
21,Teguh Prakoso,2025-05-16,Hukum Perdata,82300022221,Jl. Mawar Merah 1A,teguh.prakoso@law.com,Pekanbaru,1976-03-17,Laki-Laki
22,Ulfah Khairani,2025-05-31,Hukum Pidana,81100033322,Perumahan Damai Sentosa H3,ulfah.khairani@law.com,Samarinda,1995-12-01,Wanita
23,Vino G Bastian,2025-06-05,Hukum Niaga,85511144423,Jl. Gajah Mada 15,vino.g@law.com,Banjarmasin,1983-09-14,Laki-Laki
24,Wulan Sari,2025-06-20,Hukum HKI,87622255524,Gg. Anggrek Hitam 20,wulan.sari@law.com,Padang,1990-04-29,Wanita
25,Yudi Irawan,2025-07-05,Hukum Perdata,82033366625,Jl. Kembang Api 1,yudi.irawan@law.com,Denpasar,1977-11-23,Laki-Laki
26,Zahra Ramadhani,2025-07-20,Hukum Pidana,81444477726,Komplek Nirwana Blok J1,zahra.r@law.com,Makassar,1997-02-08,Wanita
27,Aldo Sanjaya,2025-08-04,Hukum Niaga,85155588827,Jl. Diponegoro 99,aldo.sanjaya@law.com,Jakarta,1989-08-02,Laki-Laki
28,Bella Anjani,2025-08-19,Hukum HKI,87266699928,Perumahan Nusa Indah B3,bella.anjani@law.com,Surabaya,1994-05-21,Wanita
29,Cahyo Widodo,2025-09-03,Hukum Perdata,82777700029,Gg. Sejahtera 33,cahyo.widodo@law.com,Bandung,1982-10-15,Laki-Laki
30,Dina Kartika,2025-09-18,Hukum Pidana,81388811130,Jl. Mangga Dua 7,dina.kartika@law.com,Yogyakarta,2000-03-27,Wanita
31,Edo Mahendra,2025-10-03,Hukum Niaga,85499922231,Jl. Cempaka Putih 17,edo.mahendra@law.com,Medan,1979-01-09,Laki-Laki
32,Fira Agustin,2025-10-18,Hukum HKI,87500033332,Komplek Harmoni Indah D1,fira.agustin@law.com,Semarang,1996-08-03,Wanita
33,Gilang Dirga,2025-11-02,Hukum Perdata,82911144433,Jl. Sudirman 88,gilang.dirga@law.com,Malang,1987-05-18,Laki-Laki
34,Hana Safitri,2025-11-17,Hukum Pidana,81022255534,Perumahan Mutiara Blok G2,hana.safitri@law.com,Jakarta,1992-12-04,Wanita
35,Iqbal Ramadhan,2025-12-02,Hukum Niaga,85333366635,Jl. Rajawali No. 30,iqbal.ramadhan@law.com,Surabaya,1985-07-28,Laki-Laki
36,Juwita Sari,2025-12-17,Hukum HKI,87444477736,Gg. Damai Sejati 5,juwita.sari@law.com,Bandung,1999-02-11,Wanita
