Staf_ID,Nama_Staf,Tgl_Bgb_Staf,No_Tlp_Staf,Email_Staf,Tgl_lhr_Staf,Gender_Staf,Tp_Lhr_Staf,Alamat_Staf
1,Ria Septiani,2025-06-01,81212345678,ria.septiani@mail.com,1995-09-10,Wanita,Surabaya,Jl. Mawar No. 1
2,Bagus Haryanto,2025-06-02,81323456789,bagus.h@mail.com,1990-03-25,Laki-Laki,Bandung,Komplek Anggrek Blok C
3,Dewi Nurmala,2025-06-03,85734567890,dewi.nm@mail.com,1998-11-12,Wanita,Jakarta,Perumahan Asri No. 15
4,Eko Pramono,2025-06-04,87845678901,eko.pramono@mail.com,1987-07-07,Laki-Laki,Yogyakarta,Gg. Kenanga No. 8
5,Fitriyah Rani,2025-06-05,82156789012,fitriyah.r@mail.com,2000-01-30,Wanita,Medan,Jl. Durian Runtuh 2A
6,Gilang Nugraha,2025-06-06,85267890123,gilang.n@mail.com,1993-05-18,Laki-Laki,Semarang,Jl. Pemuda No. 45
7,Hana Wijaya,2025-06-07,81578901234,hana.wijaya@mail.com,1985-12-04,Wanita,Malang,Kp. Baru RT 05/RW 02
8,Ivan Saputra,2025-06-08,81889012345,ivan.saputra@mail.com,1996-10-22,Laki-Laki,Jakarta,Komplek Damai Blok F10
9,Jelita Sari,2025-06-09,85690123456,jelita.sari@mail.com,1991-04-03,Wanita,Surabaya,Jl. Raya Gubeng 100
10,Kevin Chandra,2025-06-10,81901234567,kevin.chandra@mail.com,1983-09-27,Laki-Laki,Bandung,Perumahan Cipta Indah
11,Lina Agustin,2025-06-11,81112345678,lina.agustin@mail.com,1999-02-14,Wanita,Bekasi,Gg. Masjid No. 7
12,Muhammad Zaki,2025-06-12,85823456789,m.zaki@mail.com,1994-08-08,Laki-Laki,Bogor,Jl. Kebun Raya 12
13,Nadia Pramesti,2025-06-13,87734567890,nadia.p@mail.com,1988-06-20,Wanita,Gresik,Komplek Citra Asri K4
14,Oscar Pratama,2025-06-14,82245678901,oscar.pratama@mail.com,1997-03-01,Laki-Laki,Sidoarjo,Jl. Veteran 55
15,Putri Kartini,2025-06-15,81656789012,putri.k@mail.com,1982-11-28,Wanita,Palembang,Perumahan Nusa Bakti B1
16,Rahmat Ilahi,2025-06-16,85367890123,rahmat.ilahi@mail.com,2001-05-05,Laki-Laki,Makassar,Jl. Pantai Losari 3
17,Siska Ayu,2025-06-17,81778901234,siska.ayu@mail.com,1990-12-19,Wanita,Depok,Gg. Jaya Abadi 10
18,Taufik Rizal,2025-06-18,81489012345,taufik.r@mail.com,1995-06-16,Laki-Laki,Tangerang,Jl. Cendrawasih 8
19,Vina Adelia,2025-06-19,85990123456,vina.adelia@mail.com,1984-01-23,Wanita,Cirebon,Komplek Permata Hijau
20,Wawan Setiawan,2025-06-20,87901234567,wawan.s@mail.com,1992-07-11,Laki-Laki,Solo,Jl. Gatot Subroto 77
21,Yeni Marlina,2025-06-21,82301234567,yeni.marlina@mail.com,1996-03-09,Wanita,Pekanbaru,Perumahan Satria F5
22,Andika Putra,2025-06-22,81102345678,andika.p@mail.com,1989-10-04,Laki-Laki,Samarinda,Jl. Kalimantan 10
23,Bella Safira,2025-06-23,85513456789,bella.s@mail.com,1993-04-17,Wanita,Banjarmasin,Gg. Kecil 22
24,Candra Kirana,2025-06-24,87624567890,candra.k@mail.com,1986-11-02,Wanita,Padang,Jl. Khatib Sulaiman 5
25,Daffa Ardiansyah,2025-06-25,82035678901,daffa.a@mail.com,2002-05-29,Laki-Laki,Denpasar,Komplek Nusa Indah
26,Elsa Puspita,2025-06-26,81446789012,elsa.p@mail.com,1991-01-07,Wanita,Makassar,Jl. Urip Sumoharjo
27,Ferry Irawan,2025-06-27,85157890123,ferry.i@mail.com,1997-09-14,Laki-Laki,Jakarta,Jl. Kebayoran Lama 1
