Pengacara_ID,Nama_Pengacara,Tgl_Bgb_Pca,Spesialisasi,No_Tlp_Pca,Alamat_Pengacara,Email_Pengacara,Tempat_Lahir_Pca,Tgl_Lhr_Pca,Gender_Pengacara
1,Dr. Rendra Kusuma,2024-01-05,Hukum Pidana,081112345101,"Jl. Sudirman 1A",rendra@law.com,Jakarta,1978-08-15,Laki-Laki
2,S.H. Maya Sari,2023-11-12,Hukum Keluarga,081212345102,"Perum Elok D2",maya@law.com,Semarang,1985-04-20,Wanita
3,S.H. Taufik Hidayat,2024-04-01,Hukum Bisnis,081312345103,"Jl. Merdeka Raya 5",taufik@law.com,Surabaya,1980-09-10,Laki-Laki
4,S.H. Nia Paramita,2024-06-25,Hukum Properti,081412345104,"Komplek Puri B5",nia@law.com,Bandung,1982-12-05,Wanita
5,S.H. Wisnu Aji,2025-01-01,Hukum Tata Negara,081512345105,"Jl. Cendana No. 9",wisnu@law.com,Yogyakarta,1975-06-30,Laki-Laki
6,S.H. Dewi Lestari,2024-08-18,Hukum Lingkungan,081612345106,"Desa Hijau No. 20",dewi@law.com,Malang,1988-02-14,Wanita
7,S.H. Rio Firmansyah,2024-10-03,Hukum Kepailitan,081712345107,"Jl. Veteran 12",rio@law.com,Denpasar,1983-11-28,Laki-Laki
8,S.H. Citra Kirana,2025-03-11,Hukum Ketenagakerjaan,081812345108,"Apartemen Tower A",citra@law.com,Palembang,1991-07-07,Wanita
9,S.H. Guntur Jaya,2024-05-14,Hukum Perdata,081912345109,"Gang Mawar No. 4",guntur@law.com,Balikpapan,1986-01-01,Laki-Laki
10,S.H. Hana Maulida,2024-02-28,Hukum IT,082012345110,"Jl. Kebon Raya 7",hana@law.com,Pekanbaru,1993-09-29,Wanita
