Staf_ID,Nama_Staf,Tgl_Bgb_Staf,No_Tlp_Staf,Email_Staf,Tgl_lhr_Staf,Gender_Staf,Tp_Lhr_Staf,Alamat_Staf
1,Fitri Maharani,2024-03-01,0812xxxx111,fitri@law.com,1995-07-12,Wanita,Bandung,"Jl. Raya Selatan No. 5"
2,Ahmad Ramadhan,2024-05-20,0878xxxx222,ahmad@law.com,1998-01-25,Laki-Laki,Surabaya,"Perumahan Indah Blok A"
3,Sinta Dewi,2024-09-15,0857xxxx333,sinta@law.com,1993-11-03,Wanita,Jakarta,"Komplek Cempaka Baru"
4,Rizky Pratama,2025-01-10,0813xxxx444,rizky@law.com,1990-04-18,Laki-Laki,Medan,"Gang Damai No. 10"
5,Lia Amelia,2025-04-05,0896xxxx555,lia@law.com,1997-09-08,Wanita,Semarang,"Jl. Pahlawan Blok F"
6,Bima Satria,2024-07-22,0811xxxx666,bima@law.com,1989-05-01,Laki-Laki,Yogyakarta,"Desa Mandiri No. 3"
7,Dina Kartika,2024-02-14,0815xxxx777,dina@law.com,1996-02-28,Wanita,Denpasar,"Jl. Sunset No. 8"
8,Eko Nugroho,2025-02-08,0816xxxx888,eko@law.com,1991-10-10,Laki-Laki,Palembang,"Komplek Citra Asri"
9,Rina Wulandari,2024-11-29,0817xxxx999,rina@law.com,1994-06-19,Wanita,Makassar,"Jl. Pelabuhan Lama"
10,Jaka Lesmana,2024-06-18,0818xxxx000,jaka@law.com,1992-03-22,Laki-Laki,Pontianak,"Gang Sejahtera 1"
